state,grad_rate,grad_rate_white,grad_rate_black
Alabama,90,91.5,87.7
Alaska ,78.5,83.7,73
Arizona ,78.7,83.4,73.7
Arkansas ,89.2,91.2,85.6
California ,83,87,73.3
Colorado ,80.8,85.3,74.4
Connecticut ,88.4,93.4,80.6
Delaware ,86.9,89.9,83.2
District of Columbia ,68.5,89,67
Florida ,86.3,89.3,81.2
Georgia ,81.6,84.9,79.4
Hawaii,84.5,86,82
Idaho ,80.7,82.3,71
Illinois ,86.5,91.1,77.6
Indiana ,88.1,90,79.4
Iowa ,91.4,93.2,81
Kansas ,87.2,89.7,79
Kentucky ,90.3,91.9,82
Louisiana ,81.4,85.5,78.1
Maine ,86.7,87.3,78
Maryland ,87.1,93.2,84.8
Massachusetts ,87.8,92.2,80.1
Michigan ,80.6,83.9,70
Minnesota ,83.2,88.4,67.4
Mississippi ,84,87.7,80.7
Missouri ,89.2,91.6,80
Montana ,86.4,89.4,80
Nebraska ,88.7,92.5,78
Nevada ,83.2,86,71.5
New Hampshire ,88.8,89.5,81
New Jersey ,90.9,95,84.2
New Mexico ,73.9,79.3,69
New York ,82.3,90.1,72.9
North Carolina ,86.3,89.6,83.2
North Dakota ,88.1,91.4,76
Ohio ,82.1,85.6,68.6
Oklahoma ,81.8,83.3,77.2
Oregon ,78.7,80.1,68
Pennsylvania ,85.9,90.5,72.1
Rhode Island ,84,87.3,83
South Carolina ,81,83.6,76.9
South Dakota ,84.1,89.9,75
Tennessee ,90,93,83.7
Texas ,90,93.6,86.5
Utah ,87,89.3,76
Vermont ,85.1,86.2,70
Virginia ,87.5,91.8,83.8
Washington ,86.7,88,80.1
West Virginia ,90.2,90.4,86
Wisconsin ,89.7,93.6,69.5
Wyoming ,81.7,83.8,77
