Week,Dates,name,value
1,08/23 - 08/27,Monday,Syllabus + Intro
1,08/23 - 08/27,Wednesday,Chapter 1
1,08/23 - 08/27,Friday,Chapter 2
2,08/30 - 09/03,Monday,R Day <br/> <i>(Introduction)</i>
2,08/30 - 09/03,Wednesday,R Day <br/> <i>(Visualizing Data)</i>
2,08/30 - 09/03,Friday,Chapter 12
3,09/06 - 09/10,Monday,No Class <br/> <i>Labor Day</i>
3,09/06 - 09/10,Wednesday,Chapter 13
3,09/06 - 09/10,Friday,Chapter 14
4,09/13 - 09/17,Monday,Chapter 3
4,09/13 - 09/17,Wednesday,Chapter 3
4,09/13 - 09/17,Friday,Distributions
5,09/20 - 09/24,Monday,Expectations
5,09/20 - 09/24,Wednesday,R Day <br/> <i>(Distributions)</i>
5,09/20 - 09/24,Friday,Chapter 8
6,09/27 - 10/01,Monday,Chapter 9
6,09/27 - 10/01,Wednesday,<i>Review</i>
6,09/27 - 10/01,Friday,Midterm
7,10/04 - 10/08,Monday,Chapter 15
7,10/04 - 10/08,Wednesday,Chapter 15
7,10/04 - 10/08,Friday,Chapter 16
8,10/11 - 10/15,Monday,Chapter 16 <br/> Chapter 17
8,10/11 - 10/15,Wednesday,Chapter 17
8,10/11 - 10/15,Friday,Chapter 18
9,10/18 - 10/22,Monday,R Day <br/> <i>(Sampling Distributions)</i>
9,10/18 - 10/22,Wednesday,R Day <br/> <i>(Size and Power)</i>
9,10/18 - 10/22,Friday,Chapter 18
10,10/25 - 10/29,Monday,Chapter 20
10,10/25 - 10/29,Wednesday,Chapter 20
10,10/25 - 10/29,Friday,Chapter 21
11,11/01 - 11/05,Monday,Chapter 21
11,11/01 - 11/05,Wednesday,R Day <br/> <i>(t-dist)</i>
11,11/01 - 11/05,Friday,Midterm
12,11/08 - 11/12,Monday,Chapter 22
12,11/08 - 11/12,Wednesday,Chapter 22
12,11/08 - 11/12,Friday,Chapter 23
13,11/15 - 11/19,Monday,Chapter 4
13,11/15 - 11/19,Wednesday,Chapter 6
13,11/15 - 11/19,Friday,Chapter 5
14,11/22 - 11/26,Monday,Chapter 5
14,11/22 - 11/26,Wednesday,R Day <br> <i>(Regression)</i>
14,11/22 - 11/26,Friday,R Day <br/> <i>(ggplot2)</i>
15,11/29 - 12/03,Monday,No Class <br/> <i>Thanksgiving</i>
15,11/29 - 12/03,Wednesday,Chapter 26
15,11/29 - 12/03,Friday,Chapter 26
16,12/06 - 12/08,Monday,<i>Review</i>
16,12/06 - 12/08,Wednesday,<i>Review</i>
16,12/06 - 12/08,Friday,
1,08/23 - 08/27,Assignments,"R assignment 0 <br/> Chapter 1 and 2, Sunday"
2,08/30 - 09/03,Assignments,"Chapter 12, Sunday"
3,09/06 - 09/10,Assignments,"R assignment 1, Wednesday <br/> Chapter 13 and 14, Sunday"
4,09/13 - 09/17,Assignments,"Chapter 3, Sunday"
5,09/20 - 09/24,Assignments,"Chapter 8 and 9, Sunday"
6,09/27 - 10/01,Assignments,"R assignment 2, Wednesday <br/> Chapter 15, Sunday"
7,10/04 - 10/08,Assignments,"Chapter 15, Sunday"
8,10/11 - 10/15,Assignments,"Chapter 16 and 17, Sunday"
9,10/18 - 10/22,Assignments,"Chapter 18, Sunday"
10,10/25 - 10/29,Assignments,"R assignment 3, Wednesday <br/> Chapter 20 and 21, Sunday"
11,11/01 - 11/05,Assignments,"R assignment 4, Friday <br/> Chapter 22, Sunday"
12,11/08 - 11/12,Assignments,"Chapter 23, Sunday"
13,11/15 - 11/19,Assignments,"Chapter 4 and 6, Sunday"
14,11/22 - 11/26,Assignments,"R Project, Due Sunday <br/> Chapter 6, Sunday"
15,11/29 - 12/03,Assignments,"R assignment 5, Wednesday <br/> Chapter 26, Sunday"
16,12/06 - 12/08,Assignments,
Final,12/12 - <i>1:30-4pm</i>,Assignments,Final Exam
